VCD info: dumpfile sim/i2c_simulation.vcd opened for output.
[I2C Testbench] Iniciando simulación...
Time=0 ns | SDA=1 SCL=1 | M_State=0 S_State=0 | cmd_valid=0 cmd_ready=1 busy=0 bus_active=0 | RegAddr=00 S_Shift=00000000
Time=21450 ns | SDA=0 SCL=1 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=01000000
Time=22410 ns | SDA=0 SCL=0 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=01000000
Time=23410 ns | SDA=0 SCL=1 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=01000000
Time=23450 ns | SDA=0 SCL=1 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=10000000
Time=24410 ns | SDA=0 SCL=0 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=10000000
Time=24910 ns | SDA=1 SCL=0 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=10000000
Time=25410 ns | SDA=1 SCL=1 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=10000000
Time=25450 ns | SDA=1 SCL=1 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000001
Time=26410 ns | SDA=1 SCL=0 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000001
Time=26910 ns | SDA=0 SCL=0 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000001
Time=27410 ns | SDA=0 SCL=1 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000001
Time=27450 ns | SDA=0 SCL=1 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000010
Time=28410 ns | SDA=0 SCL=0 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000010
Time=29410 ns | SDA=0 SCL=1 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000010
Time=29450 ns | SDA=0 SCL=1 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000100
Time=30410 ns | SDA=0 SCL=0 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000100
Time=31410 ns | SDA=0 SCL=1 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00000100
Time=31450 ns | SDA=0 SCL=1 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00001000
Time=32410 ns | SDA=0 SCL=0 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00001000
Time=33410 ns | SDA=0 SCL=1 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00001000
Time=33450 ns | SDA=0 SCL=1 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00010000
Time=34410 ns | SDA=0 SCL=0 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00010000
Time=35410 ns | SDA=0 SCL=1 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00010000
Time=35450 ns | SDA=0 SCL=1 | M_State=4 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00100000
Time=36410 ns | SDA=0 SCL=0 | M_State=5 S_State=3 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=00 S_Shift=00100000
Time=36450 ns | SDA=0 SCL=0 | M_State=5 S_State=4 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00100000
Time=37410 ns | SDA=0 SCL=1 | M_State=5 S_State=4 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00100000
Time=38410 ns | SDA=0 SCL=0 | M_State=0 S_State=4 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00100000
Time=38430 ns | SDA=0 SCL=0 | M_State=0 S_State=4 | cmd_valid=0 cmd_ready=1 busy=0 bus_active=1 | RegAddr=20 S_Shift=00100000
